NOM,NOM_ALPHA,CODE,ARTICLE,NOM_LONG,CAPITALE,CONTINENT,SUBTHEME,THEME,THEME_LEVEL,CATEGORY,QUIZZ_ordering,FLAG,,,,,,,,,
Guatémala,Guatémala,GTM,le,République du Guatémala,Guatémala,Amerique,Amérique,geography,1,Capitales,1,guatemala,,,,,,,,,guatemala
Guinée,Guinée,GIN,la,République de Guinée,Conakry,Afrique,Afrique,geography,1,Capitales,3,guinee,,,,,,,,,guinee
Guinée équatoriale,Guinée équatoriale,GNQ,la,République de Guinée équatoriale,Malabo,Afrique,Afrique,geography,1,Capitales,3,guinee_equatoriale,,,,,,,,,guinee_equatoriale
Guinée-Bissao,Guinée-Bissao,GNB,la,République de Guinée-Bissao,Bissao,Afrique,Afrique,geography,1,Capitales,3,guinee_bissau,,,,,,,,,guinee_bissau
Guyana,Guyana,GUY,le,République coopérative du Guyana,Georgetown,Amerique,Amérique,geography,1,Capitales,2,guyana,,,,,,,,,guyana
Haïti,Haïti,HTI,,République d'Haïti,Port-au-Prince,Amerique,Iles Pacifiques,geography,2,Capitales,1,haiti,,,,,,,,,haiti
Honduras,Honduras,HND,le,République du Honduras,Tégucigalpa,Amerique,Amérique,geography,1,Capitales,2,honduras,,,,,,,,,honduras
Hongrie,Hongrie,HUN,la,Hongrie,Budapest,Europe,Europe,geography,1,Capitales,2,hongrie,,,,,,,,,hongrie
Inde,Inde,IND,l',République de l'Inde,New Delhi,Asie,Asie,geography,1,Capitales,2,inde,,,,,,,,,inde
Indonésie,Indonésie,IDN,l',République d'Indonésie,Jakarta,Asie,Asie,geography,1,Capitales,2,indonesie,,,,,,,,,indonesie
Irak,Irak,IRQ,l',République d'Irak,Bagdad,Asie,Asie,geography,1,Capitales,2,iraq,,,,,,,,,iraq
Iran,Iran,IRN,l',République islamique d'Iran,Téhéran,Asie,Asie,geography,1,Capitales,2,iran,,,,,,,,,iran
Irlande,Irlande,IRL,l',Irlande,Dublin,Europe,Europe,geography,1,Capitales,2,irlande,,,,,,,,,irlande
Islande,Islande,ISL,l',République d'Islande,Reykjavik,Europe,Europe,geography,1,Capitales,2,islande,,,,,,,,,islande
Israël,Israël,ISR,,État d'Israël,Jérusalem,Asie,Asie,geography,1,Capitales,2,israel,,,,,,,,,israel
Italie,Italie,ITA,l',République italienne,Rome,Europe,Europe,geography,1,Capitales,2,italie,,,,,,,,,italie
Jamaïque,Jamaïque,JAM,la,Jamaïque,Kingston,Amerique,Iles des Caraibes,geography,2,Capitales,2,jamaique,,,,,,,,,jamaique
Japon,Japon,JPN,le,Japon,Tokyo,Asie,Asie,geography,1,Capitales,2,japon,,,,,,,,,japon
Jordanie,Jordanie,JOR,la,Royaume hachémite de Jordanie,Amman,Asie,Asie,geography,1,Capitales,2,jordanie,,,,,,,,,jordanie
Kazakhstan,Kazakhstan,KAZ,le,République du Kazakhstan,Nour-Soultan,Asie,Asie,geography,1,Capitales,3,kazakstan,,,,,,,,,kazakstan
Kénya,Kénya,KEN,le,République du Kénya,Nairobi,Afrique,Afrique,geography,1,Capitales,3,kenya,,,,,,,,,kenya
Kirghizstan,Kirghizstan,KGZ,le,République kirghize,Bichkek,Asie,Asie,geography,1,Capitales,3,kirghizstan,,,,,,,,,kirghizstan
Kiribati,Kiribati,KIR,les,République des Kiribati,Bairiki,Oceanie,Iles Pacifiques,geography,2,Capitales,1,kiribati,,,,,,,,,kiribati
Kosovo,Kosovo,KOS,le,République du Kosovo,Pristina,Europe,Europe,geography,1,Capitales,2,kosovo,,,,,,,,,kosovo
